id,goof,game_id
1,Captain Monroe's shoulder insignia show the rank of 2nd Lieutenant (single gold bar). A captain's insignia is 2 silver bars next to each other.,d790c144-5da2-4ef5-b278-e4840b0349f3
2,"Dutch's horse, The Count, is said to be an Albino Arabian Stallion. In real life, horses cannot carry true albinism due to Lethal White Syndrome. Albino horses are born with non-functioning colons and die within a few days of birth.",d790c144-5da2-4ef5-b278-e4840b0349f3
3,"While Oleander Sage is poisonous in real life, its lethality is greatly exaggerated in game. In reality, it would take a fairly large quantity to kill an adult human. Here, its residue on an arrowhead can kill a grizzly bear.",d790c144-5da2-4ef5-b278-e4840b0349f3
4,"Back Cast & crew User reviews Trivia IMDbPro  Red Dead Redemption II Goofs Red Dead Redemption II Continuity Captain Monroe's shoulder insignia show the rank of 2nd Lieutenant (single gold bar). A captain's insignia is 2 silver bars next to each other.  Helpful • 2  0  Factual errors Dutch's horse, The Count, is said to be an Albino Arabian Stallion. In real life, horses cannot carry true albinism due to Lethal White Syndrome. Albino horses are born with non-functioning colons and die within a few days of birth.  Helpful • 30  0  While Oleander Sage is poisonous in real life, its lethality is greatly exaggerated in game. In reality, it would take a fairly large quantity to kill an adult human. Here, its residue on an arrowhead can kill a grizzly bear.  Helpful • 8  0  When Arthur first meets Agent Milton, Milton claims he's ""seconded to the United States Government"". Milton's claim defies the law in 1899, as the Anti-Pinkerton Act was passed in 1893 which prevented the USA government",d790c144-5da2-4ef5-b278-e4840b0349f3
5,"Back Cast & crew User reviews Trivia IMDbPro  Red Dead Redemption II Goofs Red Dead Redemption II Continuity Captain Monroe's shoulder insignia show the rank of 2nd Lieutenant (single gold bar). A captain's insignia is 2 silver bars next to each other.  Helpful • 2  0  Factual errors Dutch's horse, The Count, is said to be an Albino Arabian Stallion. In real life, horses cannot carry true albinism due to Lethal White Syndrome. Albino horses are born with non-functioning colons and die within a few days of birth.  Helpful • 30  0  While Oleander Sage is poisonous in real life, its lethality is greatly exaggerated in game. In reality, it would take a fairly large quantity to kill an adult human. Here, its residue on an arrowhead can kill a grizzly bear.  Helpful • 8  0  When Arthur first meets Agent Milton, Milton claims he's ""seconded to the United States Government"". Milton's claim defies the law in 1899, as the Anti-Pinkerton Act was passed in 1893 which prevented the USA government",d790c144-5da2-4ef5-b278-e4840b0349f3
6,"In a cut scene, after bringing Tyr to his senses, Atreus tries to give him a spear, which Tyr rejects. He leans the spear against a wall. When the game is given control back to the player, if you turn to look at the spear, it is gone.",51e253ce-e19a-4e27-95f3-82794841cc15
7,"After the confrontation with David, when Joel grabs Ellie to make her stop you can hear the machete clinking various times as it falls flat on the ground. At the end of the cinematic the machete is shown as if nailed almost vertically on the ground or David's body.",91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
8,"At the University of Eastern Colorado, in the science lab when you enter the room containing monkeys, you open the door into the room. However, after you listen to the dead Firefly's recording, come under attack and exit, that door is now opened out from that room.",91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
9,No-one can survive a fall at terminal velocity into water.,025ea231-da64-407d-94aa-715e7751ba0a
10,Some things fly with a single spinning rotor. It is impossible to fly with just one rotor.,025ea231-da64-407d-94aa-715e7751ba0a
11,"Some clothing can be found in places which haven't seen use in hundreds of years, and still the clothing is in one piece.",025ea231-da64-407d-94aa-715e7751ba0a
12,"The Purah Pad's camera has a lens that is half-closed, yet a full picture is shown when looking through it.",025ea231-da64-407d-94aa-715e7751ba0a
13,"Leggings and hats can be worn for cold protection, even though they shouldn't really be effective if the rest of the body is scantily covered.",025ea231-da64-407d-94aa-715e7751ba0a
14,"When Jimmy is kidnapped, he calls Michael and tells him he's in a charcoal-colored Landstalker. But when Michael catches up to the car, it's colored green. (Note: this has been corrected in the Enhanced version of the game.)",50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
15,"Along the highway in rural areas, traffic cops (Called the San Andreas Highway Patrol in-game) can be found standing and watching the highway with police motorbikes next to them. However if driven past with a wanted level or provoked, they'll usually and strangely Comendear a civilian car rather then use there bike (unless they're sitting on it when you go past).",50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
16,"In the mission ""The Wrap Up"", Michael De Santa, Steve Haines, Dave Norton & Andreas Sanchez are engaged in a Mexican Standoff with Merryweather and the FIB. Steve's gun used in the standoff was an automatic pistol. However, when Steve shoots Sanchez in the head, the gun is set to a single shot.",50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
17,"At the beginning of ""The Big Score"", the characters exit the Vanilla Unicorn through the backdoor, yet in the very next shot, they're seen coming out the front door.",50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
18,"On the in-game ""Chattersphere"" radio show, Lazlow talks about being in a career slump and has an on-air meltdown about it, but in the game's story mode he's the host of a national TV talent show.",50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
19,"Not all of the pirates mentioned throughout the game were active at the same time. While records of the era are incomplete and inexact, it's believed that Henry Avery died in the 1690's (possibly 1699 as the game posits). Christopher Condent is mentioned as one of his associates, but Condent wasn't even born until that decade. Anne Bonny, also mentioned, was not born until 1702. Edward England would have been a teenager at the time, being born in 1685.",003c1cb2-2333-4a28-a76c-4b1bbac13eae
20,"Anne Bonny is depicted as one of the founders of Libertalia and died with the other pirates in 1718. Historically, Anne Bonny was born on 1700, long after Libertalia was founded, and was arrested in 1720, but her actual date of death is unknown. The game presents her as a legendary pirate captain, but Anne never captained on her own, being merely part of the crew of ""Calico"" Jack Rackham at the time of her arrest. Other pirates show historical inaccuracy, too; Henry Avery is believed to have died in the 1690s (quite possibly 1699, as the game suggests). Edward England and Christopher Condent are mentioned as associates of his, but at that time, they would have been, respectively, a teen and a mere child. Additionally, unlike many of the historical pirates featured in the game, there's no mystery surrounding Condent's fate. He was offered a pardon, settled in France, got married and became a wealthy merchant, leaving the pirate life completely and dying of old age in 1770.",003c1cb2-2333-4a28-a76c-4b1bbac13eae
21,"Knives do work better in close counters, but not when someone is pointing an automatic weapon to your back.",cc8f6183-89ca-4a0d-b000-9a5df2c6e31d
22,Spelling and punctuation errors in subtitles.,cc8f6183-89ca-4a0d-b000-9a5df2c6e31d
158,Incorrect grammar in text boxes.,948a0390-ccd8-4479-a452-c467dfc29a02
23,The crosshairs in the bio-sensor scope do not meet in the middle. Scopes always have crosshairs that meet in the middle for precision.,cc8f6183-89ca-4a0d-b000-9a5df2c6e31d
24,"Incorrectly regarded as a goof: When Ashley is possessed and fires upon Mr. Kennedy, it seems like the gun clicks on an empty chamber. Actuality, the semi-automatic jammed (which occurs but not often). This is verified at the end of the cut-scene when Leon pulls back the slide to clear the jam and inspects the magazine, which has a round available.",cc8f6183-89ca-4a0d-b000-9a5df2c6e31d
25,"Weapons and equipment are carried in a briefcase, but Mr. Kennedy isn't visibly carrying a briefcase.",cc8f6183-89ca-4a0d-b000-9a5df2c6e31d
70,Various statues of humans are shown having seashells covering unclothed breasts and genitalia. Actual statues of the era did no such thing.,fb420243-232e-4fe1-acfd-134f8427e515
71,"The house was supposedly deserted in 2010, yet there are wine bottles from 2012 in the kitchen.",faf77828-592f-4dd2-9b8b-904a912efd46
72,"It's established early on that the electricity to the house had been shut off when Dawn and Edith left. Edie dies soon after and the house stayed abandoned. However, when Edith opens the refrigerator door and starts walking through the passage into Walter's room, lights immediately turn on and continue to do so throughout the rest of the game, including in Sam's room, on the terrace leading into the small home-school classroom and in the classroom itself.",faf77828-592f-4dd2-9b8b-904a912efd46
73,"The viewfinder that tells Odin's story says that Odin left Norway with his daughter Edie and Edie's husband (Sven) and daughter (Molly) on January 7, 1937, but Molly's gravestone gives her birth date as December 11, 1937.",faf77828-592f-4dd2-9b8b-904a912efd46
74,"At the start of Walter's story, he says that he's been underground for thirty years. The calendar seen on the wall to his left has the year 1968 displayed. When Walter finally decides to leave, the calendar now reads 2005. Walter has actually been in hiding for 37 years.",faf77828-592f-4dd2-9b8b-904a912efd46
101,"The Batman only synthesizes one antidote injection for Dr. Langstrom, but he is seen injecting him twice.",f25b5cfb-ecf7-4854-8630-cd979ca2a026
102,"Considering that Scarecrow no longer has any actual lips, he shouldn't be able to actually pronounce about half of the consonants of the alphabet. ""B"" and ""p"" sounds are the most egregious.",f25b5cfb-ecf7-4854-8630-cd979ca2a026
103,"The Order of Saint Dumas claims they have watched over Gotham for more than five hundred years. Which is quite a feat, considering the first permanent European settlements in America were established in the mid-16th century.",f25b5cfb-ecf7-4854-8630-cd979ca2a026
104,"The game is set in modern day Karnataka (where Halebidu and Belur are located), but Karnataka is not a war-torn region under civil strife (it's actually doing pretty well for itself). There are parts of India that kind of fit the bill (Kashmir most famously, and Chattisgarh which has a long, and ongoing, bleeding ulcer of Maoist insurgency) and even then not to the extent that the Indian Army sends fighter jets to bomb shantytowns (they prefer helicopters, Vietnam-style).",f200447d-95a6-46ff-ab93-ab1ba2158c44
105,"When Chloe Frazer wanders around the marketplace the languages she hears are Tamil and bits of Hindi, when being that this is Karnataka, the language should be Kannada (now of course given this is South India with a lot of regional migration, there might be Tamil speakers wandering in and out but the main language should be Kannada, and Hindi should certainly not be used too much).",f200447d-95a6-46ff-ab93-ab1ba2158c44
106,"In the final cutscene of episode 2, the position of the partial eclipse changes drastically between shots. In some shots, the right-side of the sun is concealed while in other shots, the left-side of the sun is concealed.",f06d540a-ed32-48e4-9615-261c47e24047
107,"If Nathan gets suspended, his disciplinary report can be found in David's files dated Tuesday, September 17 in episode 3. But in episode 4, that same disciplinary report found on Principle Wells' computer is dated Tuesday, September 20.",f06d540a-ed32-48e4-9615-261c47e24047
108,"In episode 5, after travelling through the printed selfie from episode 1, the photo can be seen on Maxine's desk next to her camera, though the angle of Maxine in the printed selfie is now different.",f06d540a-ed32-48e4-9615-261c47e24047
109,"If you take a picture of David scolding Kate, the printed photo will be on page 16 of Maxine's diary. But, later in the episode, when examining the photo in Chloe's room, the position and pose of David and Kate is different.",f06d540a-ed32-48e4-9615-261c47e24047
110,"In the diner's scenario where Frank takes out a photo from his pocket, it's folded and depicts Rachel with a curious expression in a sunset background. But when Maxine and Chloe later have the full photo in Chloe's room, Rachel is depicted with a happy expression in a mid-day background.",f06d540a-ed32-48e4-9615-261c47e24047
111,"When playing as Abby in Santa Barbara, the player still has the option to craft ammo for their hunting pistol despite losing this and their other weapons on the island.",eb02b546-e3a7-4386-b8e9-d1576fcfe641
112,"Every time you use an upgrade station, the character flips on a lamp that's simply plugged into a power strip. The world is mostly without power, barring a few random generators. It can be seen that this power strip is connected to a battery.",eb02b546-e3a7-4386-b8e9-d1576fcfe641
113,"While chasing Nora, she will barricade a double door in front of you. If you don't try to push the barricaded doors and immediately shoot the interior windows connected to the adjacent room, hop through there, and continue chasing her, she will briefly be seen running inconceivably fast down the hallway before she stops briefly to yell the line, ""Shoot her!"" to her friends.",eb02b546-e3a7-4386-b8e9-d1576fcfe641
114,"After exiting the ""WELCOME TO COMIC EXPO"" building through the open window above a van, a bus can be seen with a misspelling of the word ""TRANSPORTATION"" on its side; it reads ""FEDRA TRANSPORATION UNIT"".",eb02b546-e3a7-4386-b8e9-d1576fcfe641
115,"When Abby and Lev escape through the ambulance truck lodged inside a brick wall, a missing foliage texture can briefly be seen as Abby opens the vehicle's back doors.",eb02b546-e3a7-4386-b8e9-d1576fcfe641
116,Light from the environment can be seen shining through the mouths of characters even in cutscenes.,ddd95d91-9820-4d72-97cd-f5d35bd04557
117,"Despite the fact the Anesidora crew apparently explore the exact same area of the cargo hold as Kane, there is no sign of the open Egg that should remain from when he was attacked.",d739700b-a316-46e8-abb6-cac4a204a6d9
118,"The melted hole that Kane used to access the derelict's cargo hold is located behind the Pilot's chair in the game. In the film, it was located to the chair's left.",d739700b-a316-46e8-abb6-cac4a204a6d9
119,The Pilot's chamber aboard the derelict ship on LV-426 is far larger than it was in Alien.,d739700b-a316-46e8-abb6-cac4a204a6d9
120,"The Eggs in the derelict's cargo hold are grouped into depressed sections with raised ridges in between. In the film, only one of these sections was covered in blue mist, but in the game, multiple sections feature this mist.",d739700b-a316-46e8-abb6-cac4a204a6d9
121,"In the Crew Expendable DLC when you are in the room opposite the airlock where you need to seal the Alien in, directly in front of the window is a monitor. On it, it says Sebastopol. It should say Nostromo.",d739700b-a316-46e8-abb6-cac4a204a6d9
122,"When interrogating the station androids after the attack on the Stratford Tower, Connor asks their model number. They say their model number as GB300, while their uniform clearly shows their model number is JB300.",d1c2404d-5bcf-4bff-a3f3-359b3439a8cc
123,"During the Eden Club investigation, when Connor is viewing the androids' memories, the display screens and lighting effects will continue to play in normal time, even if the memory Connor is viewing is paused.",d1c2404d-5bcf-4bff-a3f3-359b3439a8cc
124,"While in the evidence room as Connor, the reflection on the walls does not match the room Connor is in. In the reflection there is no evidence on the walls at all.",d1c2404d-5bcf-4bff-a3f3-359b3439a8cc
125,"The game is meant to take place in the United States, but several things reveal it to be made by non-Americans and poorly localized. Todd's house having a toilet in its own room separate from the shower and sink is not something commonly seen in American homes, but is more common in Europe. Sumo's dog food bag has the words ""Beef Flavour"" on it, using a spelling one would not see in America. In the final chapter, a reporter in a helicopter mentions being ""only a few meters from the action"" - something no American reporter would say.",d1c2404d-5bcf-4bff-a3f3-359b3439a8cc
127,The Heartman never flips his hourglass.,d0d7b21f-7aea-4d50-ad35-7f08e2b8c251
126,"In one scene, Kara cuts her hair to disguise herself as a human. But it is established throughout that the androids project their skin color and hair. She literally has no hair to cut.",d1c2404d-5bcf-4bff-a3f3-359b3439a8cc
128,"Tifa mixes a drink for Cloud. After he drinks it, she shakes the mixer again and a different drink pours from it - even though she did not put anything else into it.",cc9db3b4-a973-401d-8a52-e9f92a95229c
129,"In the bar, Jessie comes up alone from the secret elevator, but as the view pans, someone else enters from the same direction despite there not being enough time for anyone else to come up.",cc9db3b4-a973-401d-8a52-e9f92a95229c
130,The sun lamps as viewed from below are not grouped together as they are in the mission to destroy Reactor 5.,cc9db3b4-a973-401d-8a52-e9f92a95229c
131,"In spite of Barrett shooting and obviously damaging the plate separation terminal, it is undamaged later in the cutscene.",cc9db3b4-a973-401d-8a52-e9f92a95229c
132,Grammar mistakes in in-game text.,cc9db3b4-a973-401d-8a52-e9f92a95229c
133,Two rounds had already been fired from the shotgun when Ms. Croft acquires it. Yet it is fully loaded when she gets it.,c7f0e843-feee-4941-8a88-ceafba9862df
134,It is possible to be shot while underwater. Water has been proven to be a good barrier against gunfire.,c7f0e843-feee-4941-8a88-ceafba9862df
135,"NPCs use blowtorches for welding and cutting, with the blowtorches even emitting electric sparks. Blowtorches are incapable of either welding or cutting.",c7f0e843-feee-4941-8a88-ceafba9862df
136,"The backwards ""R"" used to show the Russian language is equivalent to ""Ya"" in English. The letter ""R"" in Russian appears as a ""P.""",c7f0e843-feee-4941-8a88-ceafba9862df
137,There are wood structures that are intact longer than they should be.,c7f0e843-feee-4941-8a88-ceafba9862df
138,"Throughout the entire story line, whether playing as Leon or Claire, the characters are shown in cut-scenes to be using only their regular pistol weapons (Matilda for Leon, SLS 60 for Claire) regardless of whether or not the player actually has those weapons or not. Also, even if such weapons are upgraded with new attachments acquired throughout the game, the pistols are still shown in cut-scenes in their completely unaltered form as well.",c5619b78-06b3-4b02-a26f-a07d1d87711d
139,"After Claire gets to the orphanage to rescue Sherry, Claire will run into Chief Irons. Just as Chief Irons comes out the door, quickly pause the game and click ""Skip"". This will skip the cut scene and show Chief Irons eyes still moving in weird directions just before it skips.",c5619b78-06b3-4b02-a26f-a07d1d87711d
140,"This game is set in 1998. However, when playing as Leon, he is driving a 2007 Jeep Wrangler the very beginning of the game.",c5619b78-06b3-4b02-a26f-a07d1d87711d
141,A 2006 Chevrolet Impala can be seen in the Background.,c5619b78-06b3-4b02-a26f-a07d1d87711d
142,RPD Chief Brian Irons uses a Smith & Wesson Model 329PD to threaten Claire in the RPD parking lot. That model was not available until 2 years after the game's setting.,c5619b78-06b3-4b02-a26f-a07d1d87711d
143,"Marks on Dr. Sobeck's skin and on Aloy's skin should not be the same, since such marks are not genetic in nature.",c37a5bd4-0bdd-4b3d-98b4-7fe617dc1123
