id,quote,game_id
1,"Arthur Morgan: Listen to me. When the times comes, you gotta run and don't look back. This is over.",d790c144-5da2-4ef5-b278-e4840b0349f3
2,Arthur Morgan: Lennnyyyyy! Lennnnay!,d790c144-5da2-4ef5-b278-e4840b0349f3
3,Arthur Morgan: [to Dutch Van Der Linde] I gave you all I had...,d790c144-5da2-4ef5-b278-e4840b0349f3
4,"Arthur Morgan: We each got... fifteen dollars. Oh, and a quarter. Don't forget the quarter. Dutch van der Linde: Shut up, Arthur.",d790c144-5da2-4ef5-b278-e4840b0349f3
5,Dutch van der Linde: I had a goddamn PLAN!,d790c144-5da2-4ef5-b278-e4840b0349f3
6,Kratos: Death can have me when it earns me.,51e253ce-e19a-4e27-95f3-82794841cc15
7,Thor: You seem like a calm and reasonable person. ARE you a calm and reasonable person?,51e253ce-e19a-4e27-95f3-82794841cc15
8,"Atreus: Stop thinking like a father for a moment, and start thinking like a general... Kratos: NO!",51e253ce-e19a-4e27-95f3-82794841cc15
9,Kratos: The time draws near. You must prepare yourself.,51e253ce-e19a-4e27-95f3-82794841cc15
10,"Odin: Three against one, huh? So be it! Mimir: Make that four, Odin All-Fucker! Odin: WHAT DID YOU CALL ME? Mimir: That was for Brok!",51e253ce-e19a-4e27-95f3-82794841cc15
11,"Joel: I've struggled... a long time with survivan'. & you- no matter what... you keep finding something to fight for. Now, I know that's not what you want to hear right now, but it's... Ellie: Swear to me. Swear to me that everything you said about the fireflies is true. Joel: I Swear. Ellie: [after a long pause] Okay.",91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
12,"Ellie: That girl is so skinny... I thought you had plenty of food in your time. Joel: We did. Some just chose not to eat it. Ellie: Why the hell not? Joel: For looks. Ellie: Pffft, that's stupid.",91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
13,"Ellie: I'm sure your ""friend"" will be missing this tonight. [pulls out gay porn mag] Ellie: Light on the reading, but it has some good photos. Joel: Now Ellie, that ain't for kids. Ellie: Whoa! How the - how the hell would you even walk around with that thing? Joel: Get rid of that. Just... Ellie: Hold your horses, I wanna see what the fuss is about. Why are these pages stuck together? Joel: Uhh... Ellie: [laughs] I'm just fucking with you!",91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
14,Ellie: [after breaking David's finger] Ellie. David: What? Ellie: Tell them that... Ellie is the little girl that broke your fucking finger.,91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
15,Ellie: What did the mermaid wear to her math class? Joel: [Annoyed] What? Ellie: An algae-bra. Joel: [scoffs] Terrible... Ellie: Why did the scarecrow get a promotion? Joel: Alright... Ellie: Because he was outstanding... In his field. Joel: That'll do.,91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
